uid,order_no,date,qty,price,genre,author
30586178,11196,2023-12-30,1,3.5,Horror,"Rice, Anne"
30586178,11196,2023-12-30,1,4.0,Horror,"Koontz, Dean"
66551430,11197,2024-01-03,1,3.5,Westerns,"Johnstone, William W.,Johnstone, J.A."
66551430,11197,2024-01-03,1,4.0,Mystery,"Henry, Sue"
66551430,11197,2024-01-03,1,3.5,Westerns,"Johnstone, J.A."
66551430,11197,2024-01-03,1,4.0,Westerns,"Vaughan, Robert,Compton, Ralph"
66551430,11197,2024-01-03,1,4.0,Westerns,"Compton, Ralph"
66551430,11197,2024-01-03,1,3.0,Westerns,"Ames, John Edward"
66551430,11197,2024-01-03,1,3.0,Mystery,"Herron, Rita"
66551430,11197,2024-01-03,1,4.0,Mystery,"Brockmann, Suzanne"
7311109,11198,2024-01-03,1,5.0,Mystery,"Patterson, James,Sanghi, Ashwin"
7311109,11198,2024-01-03,1,7.5,Mystery,"Patterson, James,DiLallo, Richard"
7311109,11198,2024-01-03,1,8.0,Mystery,"Patterson, James"
85013414,11199,2024-01-03,1,8.5,Historical Fiction,"Tsukiyama, Gail"
85013414,11199,2024-01-03,1,8.0,Christian Fiction,"Walsh, Sheila,Cushman, Kathryn"
83823657,11200,2024-01-03,1,9.0,Erotica,"James, E L"
83823657,11200,2024-01-03,1,7.0,Classics,"McCarthy, Tom"
83823657,11200,2024-01-03,1,7.0,Young Adult & Teen,
83823657,11200,2024-01-03,1,7.0,Young Adult & Teen,"Mead, Richelle"
86976831,11201,2024-01-03,1,4.5,Romance,"Andrews, Mary Kay"
86976831,11201,2024-01-03,1,5.0,Mystery,"Baldacci, David"
86976831,11201,2024-01-03,1,15.0,Fiction,"Kingsolver, Barbara"
86976831,11201,2024-01-03,1,5.0,Romance,"Roberts, Nora"
86976831,11201,2024-01-03,1,5.0,Romance,"Roberts, Nora"
86976831,11201,2024-01-03,1,5.0,Romance,"Roberts, Nora"
86976831,11201,2024-01-03,1,9.99,Mystery,"Grisham, John"
19952413,11202,2024-01-03,1,5.0,Romance,"Ryan, Jennifer"
19952413,11202,2024-01-03,1,7.48,Romance,"Richards, Emilie"
11165934,11203,2024-01-03,1,24.99,Computer Science,"Nystrom, Robert"
84690845,11204,2024-01-03,1,4.5,Romance,"Roberts, Nora"
84690845,11204,2024-01-03,1,4.5,Romance,"Roberts, Nora"
84690845,11204,2024-01-03,1,4.5,Romance,"Roberts, Nora"
84690845,11204,2024-01-03,1,9.99,Romance,"Roberts, Nora"
84690845,11204,2024-01-03,1,5.0,Romance,"Roberts, Nora"
84690845,11204,2024-01-03,1,9.0,Fiction,"Coelho, Paulo"
84690845,11204,2024-01-03,1,30.0,Young Adult & Teen,"Maas, Sarah J."
84690845,11204,2024-01-03,1,0.5,Best Seller,
84690845,11204,2024-01-03,1,4.99,Stationery,
98242634,11205,2024-01-03,1,5.0,Romance,"Miller, Linda Lael"
98242634,11205,2024-01-03,1,4.5,Romance,"Kennedy, Joanne"
98242634,11205,2024-01-03,1,4.5,Romance,"McClain, Lee Tobin"
98242634,11205,2024-01-03,1,4.5,Romance,"Kennedy, Joanne"
98242634,11205,2024-01-03,1,4.0,Romance,"Carr, Robyn"
98242634,11205,2024-01-03,1,2.99,Romance,"Yates, Maisey"
98242634,11205,2024-01-03,1,2.88,Romance,"Dunlop, Barbara"
98242634,11205,2024-01-03,1,4.0,Romance,"Carr, Robyn"
86560627,11206,2024-01-03,1,3.5,Westerns,"L'Amour, Louis"
86560627,11206,2024-01-03,1,2.5,Westerns,"L'Amour, Louis"
86560627,11206,2024-01-03,1,11.0,World History,"McCullough, David"
86560627,11206,2024-01-03,1,9.99,Mystery,"Connelly, Michael"
86560627,11206,2024-01-03,1,9.0,World History,"Hoving, Thomas"
64543048,11208,2024-01-03,1,5.0,Young Adult & Teen,"Berenson, Alex"
64543048,11208,2024-01-03,1,4.0,Romance,"McNaught, Judith"
14594281,11209,2024-01-03,1,3.99,Kid's Chapter Books,"Hunter, Erin"
14594281,11209,2024-01-03,1,4.5,Kid's Chapter Books,"Hunter, Erin"
14594281,11209,2024-01-03,1,4.0,Young Adult & Teen,"Hunter, Erin"
14594281,11209,2024-01-03,1,3.5,Mystery,"Hunter, Erin"
14594281,11209,2024-01-03,1,9.5,Kid's Chapter Books,"Hunter, Erin"
14594281,11209,2024-01-03,1,8.5,Kid's Chapter Books,"Hunter, Erin"
14594281,11209,2024-01-03,1,9.0,Kid's Chapter Books,"Hunter, Erin"
73000488,11210,2024-01-03,1,4.5,Westerns,"Johnstone, William W.,Johnstone, J.A."
73000488,11210,2024-01-03,1,4.5,Christian Fiction,"Johns, Patricia"
73000488,11210,2024-01-03,1,3.99,Mystery,"Wilson, Robert C."
73000488,11210,2024-01-03,1,5.0,Mystery,"Taylor, Brad"
73000488,11210,2024-01-03,1,8.5,Mystery,"Turner, J. B."
73000488,11210,2024-01-03,1,3.5,Mystery,"Henry, Sue"
73000488,11210,2024-01-03,1,3.0,Westerns,"Kelton, Elmer"
80464709,11211,2024-01-03,1,8.5,Westerns,"Carter, Forrest"
80464709,11211,2024-01-03,1,8.5,Nature,"Kaniut, Larry"
80464709,11211,2024-01-03,1,6.48,Nature,"Kaniut, Larry"
80464709,11211,2024-01-03,1,7.5,Nature,"Thomas, Heather Smith"
54704534,11212,2024-01-03,1,10.0,Fiction,"Hannah, Kristin"
4557739,11215,2024-01-04,1,9.0,Mystery,"Sandford, John"
4557739,11215,2024-01-04,1,5.0,Mystery,"Child, Lee"
4557739,11215,2024-01-04,1,7.5,Mystery,"Child, Lee"
4557739,11215,2024-01-04,1,9.5,Mystery,"Baldacci, David"
45389023,11216,2024-01-04,1,7.5,Mystery,"Laurin, Nina"
45389023,11216,2024-01-04,1,5.5,Mystery,"Box, C.J."
45389023,11216,2024-01-04,1,3.5,Mystery,"Francis, Dick"
45389023,11216,2024-01-04,1,8.5,Mystery,"Flynn, Gillian"
45389023,11216,2024-01-04,1,9.0,Fiction,"Blume, Judy"
45389023,11216,2024-01-04,1,11.0,Mystery,"Lamb, Cathy"
45389023,11216,2024-01-04,1,8.5,Historical Fiction,"Ekbäck, Cecilia"
45389023,11216,2024-01-04,1,7.5,Young Adult & Teen,"Riggs, Ransom"
45389023,11216,2024-01-04,1,9.5,Fiction,"Hannah, Kristin"
45389023,11216,2024-01-04,1,7.0,Mystery,"Flynn, Gillian"
45389023,11216,2024-01-04,1,9.5,Mystery,"Penny, Louise"
45389023,11216,2024-01-04,1,7.5,Fiction,"Brant, Marilyn"
31235587,11217,2024-01-04,1,14.0,Nature,"Koch, Maryjo"
31235587,11217,2024-01-04,1,1.99,Bookmarks,
31235587,11217,2024-01-04,1,0.5,Best Seller,
70043389,11218,2024-01-04,1,8.0,Kid's Picture Books,"Anderson, Pattie Brooks"
70043389,11218,2024-01-04,8,1.5,Kid's Chapter Books,
37920777,11219,2024-01-04,1,4.5,Fantasy,"Butcher, Jim"
37920777,11219,2024-01-04,1,4.5,Fantasy,"Butcher, Jim"
70354782,11221,2024-01-04,1,5.0,Horror,"King, Stephen"
70354782,11221,2024-01-04,1,9.99,Horror,"Little, Bentley"
